IP,HOSTNAME,DATE,TIME
10.41.12.2,N/A,04/18/2024,00:38:26
10.41.12.7,swgsrapacs01a,04/18/2024,00:38:28
10.41.12.8,swgsrapacs02a,04/18/2024,00:38:29
10.41.12.9,swgsrapacs03a-l100,04/18/2024,00:38:29
10.41.12.11,nphgel1a0001,04/18/2024,00:38:29
10.41.12.14,MON-10-41-12-14-imp,04/18/2024,00:38:30
10.41.12.16,MON-10-41-12-16-imp,04/18/2024,00:38:31
10.41.12.21,MON-10-41-12-21-imp,04/18/2024,00:38:33
10.41.12.22,PC0SC9ZV,04/18/2024,00:38:33
10.41.12.31,LWGSRSPT01,04/18/2024,00:38:37
10.41.12.33,lwgsradm03,04/18/2024,00:38:37
10.41.12.42,lwgsradm04,04/18/2024,00:38:41
10.41.12.44,lwgsradm02,04/18/2024,00:38:42
10.41.12.45,lwgsradm01,04/18/2024,00:38:42
10.41.12.57,PC0JXF4G,04/18/2024,00:38:47
10.41.12.73,PC0JXF4L,04/18/2024,00:38:55
10.41.12.79,SEP20370617C01A,04/18/2024,00:38:57
10.41.12.86,PC0SC9ZU,04/18/2024,00:39:00
10.41.12.90,PC0JXF4J,04/18/2024,00:39:02
10.41.12.242,cnagel11,04/18/2024,00:40:17
10.41.12.243,cnbgel11,04/18/2024,00:40:18
