IP,HOSTNAME,DATE,TIME
10.41.12.2,N/A,04/18/2024,04:38:33
10.41.12.7,swgsrapacs01a,04/18/2024,04:38:35
10.41.12.8,swgsrapacs02a,04/18/2024,04:38:35
10.41.12.9,swgsrapacs03a-l100,04/18/2024,04:38:35
10.41.12.10,swgsrapacs04a,04/18/2024,04:38:36
10.41.12.11,nphgel1a0001,04/18/2024,04:38:36
10.41.12.14,MON-10-41-12-14-imp,04/18/2024,04:38:37
10.41.12.16,MON-10-41-12-16-imp,04/18/2024,04:38:37
10.41.12.21,MON-10-41-12-21-imp,04/18/2024,04:38:39
10.41.12.22,PC0SC9ZV,04/18/2024,04:38:40
10.41.12.31,LWGSRSPT01,04/18/2024,04:38:44
10.41.12.33,lwgsradm03,04/18/2024,04:38:44
10.41.12.42,lwgsradm04,04/18/2024,04:38:48
10.41.12.44,lwgsradm02,04/18/2024,04:38:49
10.41.12.45,lwgsradm01,04/18/2024,04:38:49
10.41.12.57,PC0JXF4G,04/18/2024,04:38:55
10.41.12.63,WPHC003992,04/18/2024,04:38:57
10.41.12.73,PC0JXF4L,04/18/2024,04:39:02
10.41.12.79,SEP20370617C01A,04/18/2024,04:39:04
10.41.12.86,PC0SC9ZU,04/18/2024,04:39:07
10.41.12.90,PC0JXF4J,04/18/2024,04:39:09
10.41.12.242,cnagel11,04/18/2024,04:40:24
10.41.12.243,cnbgel11,04/18/2024,04:40:25
10.41.12.244,SWGSRAPACS03a-vlan250,04/18/2024,04:40:25
