IP,HOSTNAME,DATE,TIME
10.41.12.2,N/A,11/01/2023,18:53:27
10.41.12.7,swgsrapacs01a,11/01/2023,18:53:30
10.41.12.8,swgsrapacs02a,11/01/2023,18:53:30
10.41.12.10,swgsrapacs04a,11/01/2023,18:53:30
10.41.12.14,MON-10-41-12-14-imp,11/01/2023,18:53:32
10.41.12.16,MON-10-41-12-16-imp,11/01/2023,18:53:32
10.41.12.21,MON-10-41-12-21-imp,11/01/2023,18:53:34
10.41.12.31,LWGSRSPT01,11/01/2023,18:53:39
10.41.12.33,lwgsradm03,11/01/2023,18:53:39
10.41.12.42,lwgsradm04,11/01/2023,18:53:43
10.41.12.44,lwgsradm02,11/01/2023,18:53:44
10.41.12.45,lwgsradm01,11/01/2023,18:53:44
10.41.12.79,SEP20370617C01A,11/01/2023,18:54:00
10.41.12.211,N/A,11/01/2023,18:55:05
10.41.12.242,N/A,11/01/2023,18:55:21
10.41.12.243,N/A,11/01/2023,18:55:21
10.41.12.244,N/A,11/01/2023,18:55:21
